contract,expiryDate,optionType,strikePrice,lastPrice,change,pChange,openPrice,highPrice,lowPrice,closePrice,volume,totalTurnover,value,premiumTurnOver,underlyingValue,openInterest,noOfTrades,datetime
NIFTY 09-Jun-2026,09-Jun-2026,Call,24000,140.8,-83.85,-37.32,223.25,250.0,123.4,138.1,9523930,1753069795.1,1753069795.1,230327389795.1,23604.25,32929.0,146522,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Call,24500,37.8,-21.65,-36.42,60.0,66.9,30.35,34.15,7025395,308133824.7,308133824.7,172430311324.7,23604.25,25646.0,108083,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Call,23900,175.95,-100.45,-36.34,272.75,306.7,158.0,178.15,6412120,1472607479.2,1472607479.2,154722275479.2,23604.25,17587.0,98648,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Put,23500,151.75,73.45,93.81,76.05,167.6,62.0,150.05,6131060,676133296.8,676133296.8,144756043296.8,23604.25,20424.0,94324,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Put,23000,46.5,25.75,124.1,21.35,52.4,14.45,44.5,5418790,155952776.2,155952776.2,124788122776.2,23604.25,24983.0,83366,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Put,23700,228.55,102.25,80.96,120.75,252.2,104.65,226.8,5159765,987733813.95,987733813.95,123274164313.95,23604.25,28294.0,79381,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Call,25000,9.15,-3.0,-24.69,12.5,12.6,7.55,8.25,4845100,42103919.0,42103919.0,121169603919.0,23604.25,28821.0,74540,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Put,24000,398.85,149.85,60.18,249.0,429.4,210.0,394.75,4697745,1339327099.5,1339327099.5,114085207099.5,23604.25,17739.0,72273,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Put,23900,331.5,129.05,63.74,204.45,363.95,168.4,331.15,4686695,1085391695.05,1085391695.05,113097402195.05,23604.25,12053.0,72103,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Call,23800,222.95,-111.9,-33.42,334.0,368.5,198.0,222.6,4366505,1130313484.3,1130313484.3,105053132484.3,23604.25,17601.0,67177,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Put,23800,281.3,119.7,74.07,165.0,304.65,133.4,276.65,4342130,914322314.1,914322314.1,104257016314.1,23604.25,12653.0,66802,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Call,24200,83.2,-57.4,-40.83,140.6,156.15,72.5,81.85,3814395,411535076.55,411535076.55,92719894076.55,23604.25,16681.0,58683,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Call,23700,272.4,-135.85,-33.28,416.4,459.05,245.05,272.5,3803475,1098025197.75,1098025197.75,91240382697.75,23604.25,25977.0,58515,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Put,22800,28.0,15.65,126.72,10.8,33.05,9.1,26.0,3727425,57514167.75,57514167.75,85042804167.75,23604.25,20849.0,57345,2026-06-01 09:01:03.230471+05:30
NIFTY 09-Jun-2026,09-Jun-2026,Call,24700,18.55,-12.85,-40.92,31.4,34.05,16.0,18.0,3597815,76669437.65,76669437.65,88942699937.65,23604.25,13090.0,55351,2026-06-01 09:01:03.230471+05:30
